,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1386077,2,-0.330507861,0,201705,1,668,1
1386094,5,2.995732274,0.3421,201706,1,668,1
1386099,2,-0.321394147,0,201705,1,668,1
1386121,2,-0.330507861,0,201706,1,668,1
1386140,4,-0.301030154,0,201705,1,668,1
1386181,4,1.572089044,0,201705,1,668,1
1386211,3,-0.329318875,0,201705,1,668,1
1386214,5,2.995732274,0,201706,1,668,1
1386282,3,-0.916290732,0.1,201706,1,668,1
1386383,5,2.995732274,0,201706,1,668,1
1386390,3,-0.350666337,0,201705,1,668,1
1386391,3,-0.21163944,0,201706,1,668,1
1386398,4,-0.314008982,0,201705,1,668,1
1386475,2,2.995732274,0,201705,1,668,1
1386486,2,-0.405465108,0,201704,1,668,1
1386526,5,-0.263526162,0.4413,201704,1,668,1
1386537,1,-1.566755709,0,201705,1,668,1
1386538,1,-0.944388495,0.0998,201706,1,668,1
1386548,3,-0.236858069,0,201706,1,668,1
1386553,2,1.651608487,0,201704,1,668,1
1386570,5,2.995732274,0,201704,1,668,1
1386616,2,0.256206659,0,201704,1,668,1
1386626,1,-0.944388495,0,201704,1,668,1
1386705,2,-0.27782589,0,201705,1,668,1
1386708,5,2.995732274,0,201706,1,668,1
1386786,1,-0.206539043,0,201705,1,668,1
1386802,3,-0.313310699,0,201704,1,668,1
1386826,2,-1.287073574,0,201706,1,668,1
1386830,4,-0.310501865,0,201705,1,668,1
1386837,2,-0.27782589,0,201704,1,668,1
1386873,5,2.995732274,0.1001,201706,1,668,1
1386894,4,-0.964255055,0,201706,1,668,1
